,1Feature,CE,CE dropped,2Feature,CE,CE dropped,3Feature,CE,CE dropped
1,left20,0.799481491,0.419023994,left20_left30,0.727652171,0.070991285,left20_left30_left40,0.687430309,0.001773102
2,left30,0.798643456,0.419862029,left20_left40,0.689203411,0.11027808,left20_left30_left50,0.573783457,0.042225118
3,left40,0.807995953,0.410509532,left20_left50,0.616008575,0.096885198,left20_left30_left60,0.571649519,0.020207696
4,left50,0.712893773,0.505611712,left20_left60,0.591857215,0.103846584,left20_left30_left70,0.495940754,0.043876162
5,left60,0.695703799,0.522801686,left20_left70,0.539816916,0.098799986,left20_left30_left80,0.344303834,0.061040483
6,left70,0.638616902,0.579888583,left20_left80,0.405344317,0.099330663,left20_left30_left90,0.326509923,0.006929905
7,left80,0.50467498,0.713830505,left20_left90,0.354655136,0.03619028,left20_left30_peak,0.527141807,0.033130549
8,left90,0.390845416,0.827660069,left20_peak,0.592894341,0.20658715,left20_left30_peakdate,0.641716861,0.050942983
9,peak,0.89936956,0.319135925,left20_peakdate,0.695642452,0.103839039,left20_left30_peakvalue,0.566800355,0.12028741
10,peakdate,0.847458791,0.371046694,left20_peakvalue,0.695732703,0.103748788,left20_left30_right80,0.416920842,0.059407977
11,peakvalue,0.999138905,0.21936658,left20_right80,0.50360657,0.260853279,left20_left30_right70,0.383115195,0.084682268
12,right80,0.764459849,0.454045636,left20_right70,0.510610491,0.288871,left20_left30_right60,0.475322603,0.082614022
13,right70,0.847900218,0.370605267,left20_right60,0.591839062,0.207642429,left20_left30_right50,0.452977672,0.076434952
14,right60,0.885321033,0.333184452,left20_right50,0.586074072,0.213407419,left20_left30_right40,0.481094356,0.100733032
15,right50,0.961511156,0.256994329,left20_right40,0.582221283,0.217260208,left20_left40_left50,0.572763325,0.04324525
16,right40,0.976285189,0.242220296,left30_left40,0.756390845,0.042252611,left20_left40_left60,0.524174532,0.067682683
17,right30,1.100038,0.101469,left30_left50,0.633178012,0.079715761,left20_left40_left70,0.484439718,0.055377198
18,right20,0.8844151,0.0921713,left30_left60,0.642958067,0.052745732,left20_left40_left80,0.338601293,0.066743024
19,,,,left30_left70,0.55938096,0.079235942,left20_left40_left90,0.322578955,0.010527308
20,,,,left30_left80,0.417124617,0.087550363,left20_left40_peak,0.484181141,0.07553406
21,,,,left30_left90,0.333439828,0.057405588,left20_left40_peakdate,0.610881737,0.078321674
22,,,,left30_peak,0.560272356,0.2383711,left20_left40_peakvalue,0.563441865,0.125761546
23,,,,left30_peakdate,0.692659844,0.105983612,left20_left40_right80,0.378448208,0.086147867
24,,,,left30_peakvalue,0.687087765,0.111555691,left20_left40_right70,0.385678776,0.113027217
25,,,,left30_right80,0.476328819,0.28813103,left20_left40_right60,0.459928786,0.114400218
26,,,,left30_right70,0.467797463,0.330845993,left20_left40_right50,0.427548017,0.135240717
27,,,,left30_right60,0.557936625,0.240706831,left20_left40_right40,0.444159196,0.138062087
28,,,,left30_right50,0.529412624,0.269230832,left20_left50_left60,0.523125367,0.068731848
29,,,,left30_right40,0.581827388,0.216816068,left20_left50_left70,0.48967081,0.050146106
30,,,,left40_left50,0.645314059,0.067579714,left20_left50_left80,0.331965188,0.073379129
31,,,,left40_left60,0.619206181,0.076497618,left20_left50_left90,0.310521058,0.025580802
32,,,,left40_left70,0.552430881,0.086186021,left20_left50_peak,0.460815898,0.068649537
33,,,,left40_left80,0.40670721,0.09796777,left20_left50_peakdate,0.506546638,0.106647789
34,,,,left40_left90,0.333106263,0.057739153,left20_left50_peakvalue,0.46199863,0.139407212
35,,,,left40_peak,0.559715201,0.248280752,left20_left50_right80,0.359352692,0.057525864
36,,,,left40_peakdate,0.725355809,0.082640144,left20_left50_right70,0.368001133,0.072219597
37,,,,left40_peakvalue,0.709133674,0.098862279,left20_left50_right60,0.422167983,0.069405056
38,,,,left40_right80,0.464596075,0.299863774,left20_left50_right50,0.42938806,0.084644772
39,,,,left40_right70,0.498705993,0.30928996,left20_left50_right40,0.438611589,0.106955917
40,,,,left40_right60,0.574329004,0.233666949,left20_left60_left70,0.511279168,0.028537748
41,,,,left40_right50,0.562788734,0.245207219,left20_left60_left80,0.381650972,0.023693345
42,,,,left40_right40,0.592356561,0.215639392,left20_left60_left90,0.297722722,0.038317061
43,,,,left50_left60,0.631499425,0.064204374,left20_left60_peak,0.437677744,0.068242184
44,,,,left50_left70,0.578350734,0.060266168,left20_left60_peakdate,0.493568538,0.082358668
45,,,,left50_left80,0.432617086,0.072057894,left20_left60_peakvalue,0.483863513,0.092346808
46,,,,left50_left90,0.33610186,0.054743556,left20_left60_right80,0.320392426,0.06859655
47,,,,left50_peak,0.529465435,0.183428338,left20_left60_right70,0.275974413,0.122988973
48,,,,left50_peakdate,0.613194427,0.099699346,left20_left60_right60,0.375211886,0.114969454
49,,,,left50_peakvalue,0.601405842,0.111487931,left20_left60_right50,0.339073588,0.107303821
50,,,,left50_right80,0.416878556,0.296015217,left20_left60_right40,0.358168485,0.145560253
51,,,,left50_right70,0.44022073,0.272673043,left20_left70_left80,0.380717631,0.024626686
52,,,,left50_right60,0.491573039,0.221320734,left20_left70_left90,0.301466731,0.053188405
53,,,,left50_right50,0.514032832,0.198860941,left20_left70_peak,0.422145356,0.11767156
54,,,,left50_right40,0.545567506,0.167326267,left20_left70_peakdate,0.450250882,0.066822771
55,,,,left60_left70,0.578762904,0.059853998,left20_left70_peakvalue,0.437140134,0.090494019
56,,,,left60_left80,0.453056592,0.051618388,left20_left70_right80,0.324583439,0.133275839
57,,,,left60_left90,0.336039783,0.054805633,left20_left70_right70,0.316434249,0.139674173
58,,,,left60_peak,0.505919928,0.189783871,left20_left70_right60,0.365299512,0.101381188
59,,,,left60_peakdate,0.575927206,0.119776593,left20_left70_right50,0.356990206,0.123198896
60,,,,left60_peakvalue,0.576210321,0.119493478,left20_left70_right40,0.36686063,0.10689868
61,,,,left60_right80,0.388988976,0.306714823,left20_left80_left90,0.228529026,0.065041917
62,,,,left60_right70,0.398963386,0.296740413,left20_left80_peak,0.257844699,0.112877689
63,,,,left60_right60,0.49018134,0.205522459,left20_left80_peakdate,0.296846501,0.068297735
64,,,,left60_right50,0.446377409,0.24932639,left20_left80_peakvalue,0.274654165,0.109184784
65,,,,left60_right40,0.503728738,0.191975061,left20_left80_right80,0.144685481,0.099317673
66,,,,left70_left80,0.4735914,0.03108358,left20_left80_right70,0.199247086,0.131514272
