"","left20","left30","left40","left50","left60","left70","left80","left90","peak","peakdate","peakvalue","X0813smooth2","right90","right80","right70","right60","right50","right40","right30","right20"
"TPd",2,4,2,1,2,2,1,3,2,2,2,3,4,3,4,3,4,2,3,0
"TPe",2,4,2,1,2,3,1,3,2,3,4,4,4,3,2,3,4,3,3,0
"TPj",2,4,2,1,2,3,1,3,2,3,2,3,4,3,4,3,3,2,4,4
"TPf",2,4,1,1,2,2,1,3,2,3,2,3,4,4,3,3,4,2,3,0
"TPh",2,4,1,1,4,2,4,3,2,3,1,3,4,3,2,3,4,3,4,2
"TPk",2,2,3,1,2,2,1,3,2,3,1,3,4,3,2,3,4,3,4,4
"TPa",2,4,1,1,4,2,4,3,2,3,2,3,4,3,2,3,4,3,4,0
"TPb",2,4,1,2,4,2,4,3,2,2,1,4,4,3,2,3,4,3,4,3
"TPc",2,4,2,1,2,3,1,3,2,2,4,4,4,4,3,3,4,2,3,0
"TPg",2,4,1,1,2,3,1,4,2,2,2,3,4,4,4,3,4,2,1,0
"TPi",2,2,3,1,2,3,1,3,2,3,4,3,4,3,3,3,4,2,1,0
"TPl",2,4,1,1,4,2,1,3,2,2,3,4,4,3,4,3,4,3,4,1
"NTa",2,4,1,1,4,2,1,3,2,3,3,1,4,3,2,3,4,3,4,1
"NTc",2,4,1,2,4,2,1,3,2,2,3,1,4,3,4,3,4,3,4,1
"NTb",2,4,1,1,4,2,1,3,2,3,3,3,4,3,4,3,4,3,4,1
"NTi",2,4,1,1,4,2,1,3,2,2,1,1,4,3,4,3,4,3,4,4
"NTj",2,4,1,1,4,2,1,3,2,3,3,1,4,3,4,3,4,3,4,1
"NTf",2,4,1,2,4,1,3,3,2,2,3,1,4,3,4,3,4,3,4,1
"NTg",2,4,2,1,2,2,1,3,2,3,2,1,4,3,3,2,3,2,2,0
"NTk",2,4,1,2,4,1,4,3,2,3,3,3,4,3,2,3,4,3,4,1
"NTd",2,4,1,2,4,2,4,3,2,2,1,1,4,3,4,3,4,3,4,4
"NTe",2,4,1,2,4,2,4,3,2,3,3,1,4,3,4,3,4,3,4,2
"NTh",2,4,1,2,4,2,1,3,2,3,1,1,4,4,3,1,3,2,3,0
"NTl",2,4,1,1,4,2,1,3,2,3,3,1,4,3,4,3,4,3,4,2
"KLa",2,4,1,1,4,2,4,3,2,3,3,3,4,3,4,3,4,3,4,1
"KLb",2,4,2,1,2,2,1,3,2,3,3,3,4,3,4,3,3,2,4,1
"KLc",2,2,3,1,3,3,1,3,2,2,3,3,4,4,3,1,3,2,4,3
"KLd",1,2,3,1,2,2,4,3,2,2,1,4,4,3,4,3,3,2,4,1
"KLf",2,2,3,1,2,3,1,3,2,2,3,3,4,4,3,1,3,2,4,2
"KLe",2,2,3,1,2,3,1,3,2,3,3,3,4,4,3,1,3,2,4,2
"KLg",2,4,2,1,4,2,4,3,2,3,3,3,4,3,2,3,4,3,4,1
"TCe",3,1,4,4,1,4,2,2,2,1,4,3,3,1,1,4,2,1,2,0
"TCd",4,1,4,4,1,4,2,2,2,1,4,3,2,2,1,4,2,1,0,0
"TCj",3,1,4,3,1,4,2,2,4,1,4,1,2,1,1,4,2,1,0,0
