1Feature,CE,CE dropped,2Feature,CE,CE dropped,3Feature,CE,CE dropped,4Feature,CE,CE dropped,5Feature,CE,CE dropped,6Feature,CE,CE dropped
left30to50,0.638757771,0.031053982,left30to50_left30to60,0.630803276,0.003027121,left30to50_left30to60_left30to70,0.620990552,4.44E-16,left30to50_left30to60_left30to70_right30to50,0.436114451,0.002420279,left30to50_left30to60_left30to70_right30to50_right30to60,0.408983272,0,left30to50_left30to60_left30to70_right30to50_right30to60_right30to70,0.353387195,0
left30to60,0.633830397,0.035981356,left30to50_left30to70,0.632649467,0.006108304,left30to50_left30to60_right30to50,0.43853473,0.05606911,left30to50_left30to60_left30to70_right30to60,0.533903015,0.004301241,left30to50_left30to60_left30to70_right30to50_right30to70,0.386161102,0,,,
left30to70,0.645453705,0.024358048,left30to50_right30to50,0.499554656,0.139203115,left30to50_left30to60_right30to60,0.541133617,0.028472666,left30to50_left30to60_left30to70_right30to70,0.460338659,-4.44E-16,left30to50_left30to60_left30to70_right30to60_right30to70,0.433994869,0,,,
right30to50,0.651035697,0.018776056,left30to50_right30to60,0.569606282,0.069151489,left30to50_left30to60_right30to70,0.460338659,0.02301249,left30to50_left30to60_right30to50_right30to60,0.408983272,0.029551458,left30to50_left30to60_right30to50_right30to60_right30to70,0.353387195,0.017014368,,,
right30to60,0.661661264,0.008150489,left30to50_right30to70,0.494355927,0.144401844,left30to50_left30to70_right30to50,0.464587116,0.021849271,left30to50_left30to60_right30to50_right30to70,0.386161102,0.028472666,left30to50_left30to70_right30to50_right30to60_right30to70,0.384182013,4.44E-16,,,
right30to70,0.650783615,0.019028138,left30to60_left30to70,0.620990552,0.012839844,left30to50_left30to70_right30to60,0.54176977,0.013615377,left30to50_left30to60_right30to60_right30to70,0.433994869,0.002322153,left30to60_left30to70_right30to50_right30to60_right30to70,0.353387195,0.017014368,,,
,,,left30to60_right30to50,0.49460384,0.139226557,left30to50_left30to70_right30to70,0.471630434,0.022725492,left30to50_left30to70_right30to50_right30to60,0.450702726,0.01388439,,,,,,
,,,left30to60_right30to60,0.573106714,0.060723683,left30to50_right30to50_right30to60,0.482373766,0.01718089,left30to50_left30to70_right30to50_right30to70,0.414633767,0,,,,,,
,,,left30to60_right30to70,0.483351149,0.150479248,left30to50_right30to50_right30to70,0.414633767,0.079722159,left30to50_left30to70_right30to60_right30to70,0.436317021,0,,,,,,
,,,left30to70_right30to50,0.486436388,0.159017318,left30to50_right30to60_right30to70,0.436317021,0.058038905,left30to50_right30to50_right30to60_right30to70,0.384182013,0.030451754,,,,,,
,,,left30to70_right30to60,0.555385146,0.090068559,left30to60_left30to70_right30to50,0.464587116,0.021849271,left30to60_left30to70_right30to50_right30to60,0.426531302,0.026659594,,,,,,
,,,left30to70_right30to70,0.496004429,0.149449276,left30to60_left30to70_right30to60,0.538204256,0.01718089,left30to60_left30to70_right30to50_right30to70,0.392784496,0.024618428,,,,,,
,,,right30to50_right30to60,0.650381293,0.000654404,left30to60_left30to70_right30to70,0.460338659,0.02301249,left30to60_left30to70_right30to60_right30to70,0.433994869,0.02634379,,,,,,
,,,right30to50_right30to70,0.635003105,0.01578051,left30to60_right30to50_right30to60,0.453190896,0.041412943,left30to60_right30to50_right30to60_right30to70,0.370401563,0.047001361,,,,,,
,,,right30to60_right30to70,0.633377578,0.017406036,left30to60_right30to50_right30to70,0.417402924,0.065948225,left30to70_right30to50_right30to60_right30to70,0.408353437,0.02382836,,,,,,
,,,,,,left30to60_right30to60_right30to70,0.464091457,0.019259692,,,,,,,,,
,,,,,,left30to70_right30to50_right30to60,0.472551998,0.01388439,,,,,,,,,
,,,,,,left30to70_right30to50_right30to70,0.432181797,0.05425459,,,,,,,,,
,,,,,,left30to70_right30to60_right30to70,0.460488446,0.035515983,,,,,,,,,
,,,,,,right30to50_right30to60_right30to70,0.627263266,0.006114313,,,,,,,,,
