"","left20","left30","left40","left50","left60","left70","left80","left90","peak","peakdate","peakvalue","right90","right80","right70","right60","right50","right40","right30","right20"
"TPd",4,1,4,4,2,1,1,2,1,4,1,3,4,1,1,3,2,2,0
"TPe",1,1,4,4,1,1,1,2,1,4,2,3,4,3,1,1,2,2,0
"TPj",1,1,4,4,1,1,1,1,1,4,1,4,4,1,1,4,2,4,1
"TPf",4,4,3,4,2,1,1,1,1,4,1,4,4,4,1,3,2,2,0
"TPh",2,4,3,4,2,1,4,2,1,4,3,1,4,3,1,1,2,1,3
"TPk",1,1,4,4,2,1,1,1,2,4,3,3,4,3,1,1,2,1,1
"TPa",2,4,3,4,2,1,4,2,1,4,1,1,4,3,1,3,2,4,0
"TPb",2,4,3,4,4,1,4,2,2,4,3,1,4,3,1,1,2,1,2
"TPc",1,1,4,4,1,1,1,1,1,4,2,4,4,4,1,3,1,2,0
"TPg",2,4,3,4,2,1,1,1,1,4,1,4,4,1,1,3,2,4,0
"TPi",1,1,4,4,1,2,1,1,1,4,2,3,4,4,1,3,2,2,0
"TPl",2,4,3,4,2,1,1,1,1,4,4,4,4,1,1,1,2,1,4
"NTa",2,4,3,4,2,1,1,1,1,4,4,3,4,3,1,1,2,1,4
"NTc",2,4,3,4,2,1,1,1,2,4,4,3,4,1,1,1,2,1,4
"NTb",2,4,3,4,2,1,1,2,1,4,4,3,4,1,1,3,2,1,4
"NTi",2,4,3,4,2,1,1,1,1,4,3,4,4,1,1,3,2,1,1
"NTj",4,4,3,4,2,1,1,2,1,4,4,3,4,1,1,3,2,1,4
"NTf",2,4,3,4,4,1,4,2,1,4,4,3,4,1,1,3,2,1,4
"NTg",1,1,4,4,2,1,1,2,1,4,1,3,4,4,2,4,1,3,0
"NTk",2,4,3,4,4,1,4,2,1,4,4,1,4,3,1,1,2,1,4
"NTd",2,4,3,4,4,1,4,2,1,4,3,3,4,1,1,3,2,1,1
"NTe",2,4,3,4,4,1,4,2,1,4,4,3,4,1,1,3,2,1,3
"NTh",2,4,3,4,2,1,1,1,2,4,3,3,4,4,2,4,1,2,0
"NTl",2,4,3,4,2,1,1,1,1,4,4,3,4,1,1,3,2,1,3
"KLa",4,1,3,4,2,1,4,2,1,4,4,1,4,1,1,3,2,1,4
"KLb",1,1,4,4,2,1,1,1,1,4,4,3,4,1,1,4,1,1,4
"KLc",1,2,4,4,1,1,1,1,2,4,4,3,4,4,2,4,1,4,2
"KLd",3,2,4,4,2,1,4,2,1,4,3,3,4,1,1,4,2,1,4
"KLf",1,2,4,4,1,1,1,1,2,4,4,4,4,4,2,4,2,1,3
"KLe",1,1,4,4,1,1,1,1,1,4,4,4,4,4,2,4,1,1,3
"KLg",1,1,4,4,2,1,4,2,1,4,4,1,4,3,1,1,2,1,4
"TCe",3,3,1,2,3,3,2,4,1,1,2,2,3,2,4,2,4,3,0
"TCd",3,3,1,2,3,3,2,3,2,3,2,2,3,2,4,2,3,0,0
"TCj",3,3,2,3,3,4,2,3,3,1,2,2,2,2,3,2,4,0,0
"TCi",3,3,1,3,3,3,2,3,1,3,2,2,3,2,4,2,4,3,0
"TCa",3,3,2,3,3,4,2,1,1,3,1,2,1,4,2,4,1,1,0
"TCb",3,3,2,1,1,2,3,1,1,1,3,4,1,2,4,4,1,4,0
"TCc",3,2,2,1,1,4,2,3,2,3,1,2,3,2,2,4,1,4,0
"TCh",3,3,2,3,3,4,2,3,2,1,1,2,1,4,4,2,1,4,0
"TCk",3,3,1,3,3,4,2,3,1,3,2,2,1,2,4,2,1,2,0
"TCg",3,3,2,3,3,4,2,3,3,1,2,2,3,2,4,2,1,2,0
