"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"KHa",0,1,1,0,1,1,1,1,0,NA,NA
"KHb",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"KHc",0,0,1,1,0,NA,NA,NA,NA,NA,NA
"KHd",0,1,1,1,1,1,1,1,NA,NA,NA
"KHe",0,1,1,0,1,1,1,1,1,NA,NA
"KHf",0,1,1,1,1,1,0,0,NA,NA,NA
"KHg",0,1,1,1,0,1,NA,NA,NA,NA,NA
"KHh",0,0,1,0,NA,NA,NA,NA,NA,NA,NA
"KHi",0,1,0,1,1,0,1,1,NA,NA,NA
"KHj",0,0,1,1,1,NA,NA,NA,NA,NA,NA
"KHk",0,1,1,0,1,1,0,NA,NA,NA,NA
"KHl",0,1,1,1,1,1,0,1,NA,NA,NA
"KLa",1,1,1,0,0,0,1,1,0,NA,NA
"KLb",1,1,1,0,1,1,0,NA,NA,NA,NA
"KLc",1,1,1,1,0,1,1,0,NA,NA,NA
"KLd",1,1,1,0,1,1,1,NA,NA,NA,NA
"KLe",1,1,1,1,0,0,0,NA,NA,NA,NA
"KLf",1,1,1,1,0,1,1,1,NA,NA,NA
"KLg",1,1,1,0,0,0,1,0,NA,NA,NA
"NTa",1,1,1,0,0,1,0,NA,NA,NA,NA
"NTb",1,1,1,0,0,0,0,NA,NA,NA,NA
"NTc",1,1,1,0,0,1,1,0,NA,NA,NA
"NTd",1,1,1,1,0,0,1,1,NA,NA,NA
"NTe",1,1,1,1,0,1,0,1,0,NA,NA
"NTf",1,1,1,0,0,1,1,1,NA,NA,NA
"NTg",1,1,0,0,0,NA,NA,NA,NA,NA,NA
"NTh",1,1,1,1,1,1,1,1,0,NA,NA
"NTi",1,1,1,1,0,0,1,0,NA,NA,NA
"NTj",1,1,1,0,0,0,1,1,1,0,NA
"NTk",1,1,1,0,0,0,1,1,1,1,NA
"NTl",1,1,1,1,0,1,0,1,1,NA,NA
"TCa",0,1,1,1,0,0,NA,NA,NA,NA,NA
"TCb",0,1,1,1,1,0,0,NA,NA,NA,NA
"TCc",0,1,1,0,1,0,0,NA,NA,NA,NA
"TCd",0,1,0,0,0,0,0,NA,NA,NA,NA
"TCe",0,1,0,0,0,1,1,0,NA,NA,NA
"TCf",0,1,0,0,1,0,NA,NA,NA,NA,NA
"TCg",0,1,0,1,1,1,1,0,NA,NA,NA
"TCh",0,1,1,1,1,0,1,NA,NA,NA,NA
"TCi",0,1,0,0,0,0,1,NA,NA,NA,NA
"TCj",0,1,0,0,0,1,1,1,NA,NA,NA
"TCk",0,1,0,1,0,1,0,NA,NA,NA,NA
"TCl",0,1,1,0,1,1,1,0,NA,NA,NA
"TNa",0,1,1,0,0,NA,NA,NA,NA,NA,NA
"TNb",0,1,1,1,1,1,1,0,NA,NA,NA
"TNc",0,1,0,1,1,0,0,NA,NA,NA,NA
"TNd",1,1,0,1,1,0,NA,NA,NA,NA,NA
"TNe",0,1,0,1,1,1,1,1,NA,NA,NA
"TNf",0,1,1,0,1,0,1,NA,NA,NA,NA
"TNg",0,1,0,1,1,1,0,NA,NA,NA,NA
"TNh",0,1,0,1,0,0,NA,NA,NA,NA,NA
"TNi",0,1,0,1,1,0,1,0,NA,NA,NA
"TNj",0,1,0,0,1,1,NA,NA,NA,NA,NA
"TNk",0,1,0,0,0,1,0,NA,NA,NA,NA
"TNl",0,1,0,1,0,1,1,NA,NA,NA,NA
"TPa",1,0,0,0,1,NA,NA,NA,NA,NA,NA
"TPb",1,1,1,1,1,1,0,1,NA,NA,NA
"TPc",1,0,1,1,0,NA,NA,NA,NA,NA,NA
"TPd",1,0,0,1,0,NA,NA,NA,NA,NA,NA
"TPe",1,0,1,1,1,0,NA,NA,NA,NA,NA
"TPf",1,0,1,0,NA,NA,NA,NA,NA,NA,NA
"TPg",1,0,0,1,1,NA,NA,NA,NA,NA,NA
"TPh",1,1,1,1,1,1,0,0,NA,NA,NA
"TPi",1,0,1,1,1,1,NA,NA,NA,NA,NA
"TPj",1,0,0,0,0,NA,NA,NA,NA,NA,NA
"TPk",1,1,1,1,1,1,1,0,0,NA,NA
"TPl",1,1,1,0,1,0,NA,NA,NA,NA,NA
"TYa",1,1,1,1,1,0,1,1,0,NA,NA
"TYb",1,1,0,0,1,NA,NA,NA,NA,NA,NA
"TYc",1,1,1,1,1,0,0,NA,NA,NA,NA
"TYd",1,1,0,1,0,1,0,NA,NA,NA,NA
"TYe",1,1,0,1,0,1,1,NA,NA,NA,NA
"TYf",1,1,1,1,1,1,1,0,1,NA,NA
"TYg",1,1,0,1,0,0,NA,NA,NA,NA,NA
"TYh",1,1,1,1,1,0,1,1,1,NA,NA
"TYi",1,1,0,1,1,1,NA,NA,NA,NA,NA
"TYj",1,1,1,1,0,1,0,0,NA,NA,NA
"TYk",1,1,1,1,1,1,1,1,1,NA,NA
"TYl",1,1,1,1,1,0,1,0,NA,NA,NA
