,KHa,KHb,KHc,KHd,KHe,KHf,KHg,KHh,KHi,KHj,KHk,KHl,KLa,KLb,KLc,KLd,KLe,KLf,KLg,NTa,NTb,NTc,NTd,NTe,NTf,NTg,NTh,NTi,NTj,NTk,NTl,TCa,TCb,TCc,TCd,TCe,TCf,TCg,TCh,TCi,TCj,TCk,TCl,TNa,TNb,TNc,TNd,TNe,TNf,TNg,TNh,TNi,TNj,TNk,TNl,TPa,TPb,TPc,TPd,TPe,TPf,TPg,TPh,TPi,TPj,TPk,TPl,TYa,TYb,TYc,TYd,TYe,TYf,TYg,TYh,TYi,TYj,TYk,TYl
KLb,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,3,3,3,6,5,6,5,4,5,5,2,2,4,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,3,2,3,3,3,3,3,3,1,6,3,3
KLg,1,1,1,1,1,1,1,1,1,1,1,1,8,6,3,3,3,3,8,5,7,5,4,5,5,2,2,4,7,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,3,2,3,3,3,3,3,3,1,7,3,3
KLa,1,1,1,1,1,1,1,1,1,1,1,1,8,6,3,3,3,3,8,5,7,5,4,5,5,2,2,4,7,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,3,2,3,3,3,3,3,3,1,7,3,3
KLc,1,1,1,1,1,1,1,1,1,1,1,1,3,3,8,6,7,8,3,3,3,3,3,3,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,3,5,2,4,5,5,5,5,4,1,3,5,4
KLf,1,1,1,1,1,1,1,1,1,1,1,1,3,3,8,6,7,8,3,3,3,3,3,3,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,3,5,2,4,5,5,5,5,4,1,3,5,4
KLe,1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,6,7,7,3,3,3,3,3,3,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,3,5,2,4,5,5,5,5,4,1,3,5,4
KLd,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,6,6,6,3,3,3,3,3,3,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,3,5,2,4,5,5,5,5,4,1,3,5,4
TPk,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,3,3,3,3,3,3,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,8,3,8,2,4,6,6,7,6,4,1,3,7,4
TPl,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,4,4,4,4,5,4,4,2,2,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,5,3,2,3,3,3,3,3,3,1,4,3,3
TPa,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,8,4,3,8,3,6,7,4,3,5,2,2,2,5,2,2,2,2,2,2,1,2,2,2
TPb,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,5,3,4,3,4,4,5,3,4,2,2,2,4,2,2,2,2,2,2,1,2,2,2
TPc,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,5,3,5,3,3,3,4,3,2,2,2,3,2,2,2,2,2,2,1,2,2,2
TPd,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,8,4,3,8,3,6,7,4,3,5,2,2,2,5,2,2,2,2,2,2,1,2,2,2
TPe,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,5,3,5,3,3,3,4,3,2,2,2,3,2,2,2,2,2,2,1,2,2,2
TPf,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6,4,3,6,3,6,6,4,3,5,2,2,2,5,2,2,2,2,2,2,1,2,2,2
TPg,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,7,4,3,7,3,6,7,4,3,5,2,2,2,5,2,2,2,2,2,2,1,2,2,2
