,KHa,KHb,KHc,KHd,KHe,KHf,KHg,KHh,KHi,KHj,KHk,KHl,KLa,KLb,KLc,KLd,KLe,KLf,KLg,NTa,NTb,NTc,NTd,NTe,NTf,NTg,NTh,NTi,NTj,NTk,NTl,TCa,TCb,TCc,TCd,TCe,TCf,TCg,TCh,TCi,TCj,TCk,TCl,TNa,TNb,TNc,TNd,TNe,TNf,TNg,TNh,TNi,TNj,TNk,TNl,TPa,TPb,TPc,TPd,TPe,TPf,TPg,TPh,TPi,TPj,TPk,TPl,TYa,TYb,TYc,TYd,TYe,TYf,TYg,TYh,TYi,TYj,TYk,TYl
KLe,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,4,7,6,4,4,4,4,7,6,4,3,5,7,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,5,2,2,2,2,2,5,2,2,5,4,5,3,5,3,3,5,3,5,3,6,5,5
KLc,1,1,1,1,1,1,1,1,1,1,1,1,4,4,8,4,6,8,4,4,4,4,6,7,4,3,5,6,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,5,2,2,2,2,2,5,2,2,5,4,5,3,5,3,3,5,3,5,3,7,5,5
KLf,1,1,1,1,1,1,1,1,1,1,1,1,4,4,8,4,6,8,4,4,4,4,6,7,4,3,5,6,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,5,2,2,2,2,2,5,2,2,5,4,5,3,5,3,3,5,3,5,3,7,5,5
KLa,1,1,1,1,1,1,1,1,1,1,1,1,9,5,4,5,4,4,8,6,7,6,4,4,6,3,4,4,9,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,4,2,2,2,2,2,4,2,2,4,5,4,3,4,3,3,4,3,4,3,4,4,4
KLg,1,1,1,1,1,1,1,1,1,1,1,1,8,5,4,5,4,4,8,6,7,6,4,4,6,3,4,4,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,4,2,2,2,2,2,4,2,2,4,5,4,3,4,3,3,4,3,4,3,4,4,4
KLb,1,1,1,1,1,1,1,1,1,1,1,1,5,7,4,7,4,4,5,5,5,5,4,4,5,3,4,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,4,2,2,2,2,2,4,2,2,4,6,4,3,4,3,3,4,3,4,3,4,4,4
KLd,1,1,1,1,1,1,1,1,1,1,1,1,5,7,4,7,4,4,5,5,5,5,4,4,5,3,4,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,4,2,2,2,2,2,4,2,2,4,6,4,3,4,3,3,4,3,4,3,4,4,4
TPl,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,6,4,4,5,5,5,5,4,4,5,3,4,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,4,2,2,2,2,2,4,2,2,4,6,4,3,4,3,3,4,3,4,3,4,4,4
TPb,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,5,4,4,4,4,5,5,4,3,7,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,8,2,2,2,2,2,8,2,2,7,4,6,3,6,3,3,7,3,6,3,5,7,6
TPk,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,5,4,4,4,4,5,5,4,3,8,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,7,2,2,2,2,2,7,2,2,9,4,6,3,6,3,3,9,3,6,3,5,8,6
